name                                                                            , rating, reviews, Type_Location                                                                     , Top_rated_for
TCS                                                                             ,    3.3, (1.1L) , IT Services & Consulting | Bengaluru +444 other locations                         , Job Security
DHL Supply Chain                                                                ,    4.2, (1.9k) , Logistics | Mumbai +100 other locations                                           , "Job Security, Work Life Balance, Company Culture"
Tata Power                                                                      ,    3.9, (1.9k) , Power | Mumbai +155 other locations                                               , "Job Security, Work Life Balance, Company Culture"
G R Infraprojects                                                               ,    4.1, (1.9k) , Engineering & Construction | Gurugram +160 other locations                        , "Salary, Work Life Balance, Work Satisfaction"
Thomson Reuters                                                                 ,    3.7, (1.9k) , Software Product | Bengaluru +27 other locations                                  , "Work Life Balance, Company Culture"
Google                                                                          ,    4.4, (1.9k) , Software Product | Bengaluru +86 other locations                                  , "Company Culture, Work Life Balance, Work Satisfaction"
Iris Software                                                                   ,    3.8, (1.9k) , IT Services & Consulting | Noida +23 other locations                              , Work Life Balance
Trident Group                                                                   ,    3.2, (1.9k) , Hospitality | Barnala +58 other locations                                         , Salary
ICICI Home Finance                                                              ,    3.7, (1.9k) , Financial Services | Mumbai +221 other locations                                  , Salary
Lucas-TVS                                                                       ,    3.9, (1.9k) , Auto Components | Chennai +78 other locations                                     , Job Security
NTPC                                                                            ,    4.2, (1.9k) , Power | New Delhi +124 other locations                                            , "Company Culture, Work Life Balance, Skill Development"
CSB Bank                                                                        ,    3.2, (1.9k) , Banking | Mumbai +236 other locations                                             , "Promotions, Company Culture, Work Satisfaction"
Safexpress                                                                      ,    3.9, (1.9k) , Logistics | New Delhi +158 other locations                                        , "Job Security, Company Culture, Work Life Balance"
Verizon                                                                         ,    3.5, (1.9k) , Telecom | Hyderabad +12 other locations                                           , Salary
PI Industries                                                                   ,    3.8, (1.9k) , Agro Chemicals | Vadodara +108 other locations                                    , Salary
Infinx                                                                          ,    3.7, (1.9k) , Software Product | Hyderabad +35 other locations                                  , Job Security
Tekwissen                                                                       ,    4.9, (1.9k) , IT Services & Consulting | Visakhapatnam +5 other locations                       , "Company Culture, Work Life Balance, Work Satisfaction"
NeoSOFT                                                                         ,    3.3, (1.9k) , IT Services & Consulting | Mumbai +25 other locations                             , "Job Security, Promotions, Company Culture"
Godrej Properties                                                               ,    3.6, (1.9k) , Real Estate | Mumbai +34 other locations                                          , Salary
Torrent Power                                                                   ,    3.8, (1.9k) , Power | Ahmedabad +61 other locations                                             , "Job Security, Work Life Balance"
Hindustan Aeronautics                                                           ,    4.3, (1.9k) , Defence & Aerospace | Bengaluru +64 other locations                               , "Work Life Balance, Work Satisfaction, Skill Development"
Polycab Wires                                                                   ,    4.0, (1.9k) , Electrical Equipment | Vadodara +167 other locations                              , "Salary, Work Life Balance"
Jindal Saw                                                                      ,    4.0, (1.9k) , Iron & Steel | Mundra +78 other locations                                         , "Job Security, Work Life Balance, Work Satisfaction"
Tata Tele Business Services                                                     ,    3.5, (1.9k) , Telecom | Mumbai +136 other locations                                             , "Promotions, Work Satisfaction, Company Culture"
TVS Sundram Fasteners                                                           ,    3.6, (1.9k) , Auto Components | Chennai +64 other locations                                     , "Promotions, Salary, Company Culture"
Medi Assist India                                                               ,    3.5, (1.9k) , Insurance | Bengaluru +67 other locations                                         , "Promotions, Salary, Work Satisfaction"
Aragen Life Sciences                                                            ,    3.9, (1.9k) , Clinical Research | Hyderabad +29 other locations                                 , "Job Security, Company Culture, Work Life Balance"
AXA Global Business Services                                                    ,    3.7, (1.9k) , IT Services & Consulting | Pune +12 other locations                               , "Work Life Balance, Job Security"
KENT RO Systems                                                                 ,    3.7, (1.8k) , Consumer Electronics & Appliances | Noida +153 other locations                    , Work Life Balance
Infra.Market                                                                    ,    3.9, (1.8k) , Building Material | Mumbai +134 other locations                                   , "Salary, Company Culture, Work Life Balance"
First American (India)                                                          ,    3.5, (1.8k) , Insurance | Bengaluru +22 other locations                                         , "Promotions, Salary, Skill Development"
Fusion CX                                                                       ,    3.2, (1.8k) , BPO | Kolkata +58 other locations                                                 , "Promotions, Job Security, Salary"
Capri Global Capital                                                            ,    3.6, (1.8k) , NBFC | New Delhi +338 other locations                                             , "Job Security, Promotions, Company Culture"
AkzoNobel                                                                       ,    4.1, (1.8k) , Chemicals | Pune +160 other locations                                             , "Company Culture, Work Life Balance, Salary"
Honda Cars                                                                      ,    4.3, (1.8k) , Automobile | Bhiwadi +114 other locations                                         , "Work Life Balance, Company Culture, Job Security"
Digit Insurance                                                                 ,    3.6, (1.8k) , Insurance | Bengaluru +90 other locations                                         , "Promotions, Salary"
Haldiram Foods International Limited                                            ,    3.8, (1.8k) , FMCG | Nagpur +170 other locations                                                , "Promotions, Company Culture"
Orchids International School                                                    ,    3.9, (1.8k) , Education & Training | Bengaluru +35 other locations                              , "Skill Development, Work Satisfaction"
DIVI'S Laboratories                                                             ,    3.6, (1.8k) , Pharma | Visakhapatnam +38 other locations                                        , Salary
Sterling & Wilson                                                               ,    4.1, (1.8k) , Engineering & Construction | Mumbai +132 other locations                          , "Work Life Balance, Job Security, Company Culture"
Innovsource Services                                                            ,    3.9, (1.8k) , Recruitment | Mumbai +253 other locations                                         , Work Life Balance
Hindustan Petroleum                                                             ,    4.2, (1.8k) , Oil & Gas | Mumbai +259 other locations                                           , "Company Culture, Work Life Balance, Job Security"
MetLife                                                                         ,    4.0, (1.8k) , Insurance | Noida +44 other locations                                             , "Work Life Balance, Job Security, Company Culture"
Cafe Coffee Day                                                                 ,    3.7, (1.8k) , Hospitality | Bengaluru +104 other locations                                      , "Promotions, Salary, Company Culture"
Adani Green Energy                                                              ,    3.9, (1.8k) , Power | Ahmedabad +116 other locations                                            , "Salary, Skill Development"
Isgec Heavy Engineering                                                         ,    3.8, (1.8k) , Engineering & Construction | Noida +94 other locations                            , Job Security
SS&C TECHNOLOGIES                                                               ,    3.2, (1.8k) , IT Services & Consulting | Mumbai +30 other locations                             , "Promotions, Salary, Company Culture"
Stellar Migration                                                               ,    1.3, (1.8k) , Other | Dubai +7 other locations                                                  , "Company Culture, Work Life Balance, Work Satisfaction"
Rungta Mines                                                                    ,    4.0, (1.8k) , Metals & Mining | Chaibasa +58 other locations                                    , "Salary, Work Life Balance, Job Security"
Air India                                                                       ,    3.4, (1.8k) , Aviation | New Delhi +67 other locations                                          , "Promotions, Company Culture, Work Satisfaction"
Reckitt Benckiser                                                               ,    4.0, (1.8k) , FMCG | Gurugram +137 other locations                                              , "Work Life Balance, Salary"
USHA International                                                              ,    4.0, (1.8k) , Consumer Electronics & Appliances | Gurugram +149 other locations                 , "Work Life Balance, Company Culture, Job Security"
USV                                                                             ,    4.0, (1.8k) , Pharma | Mumbai +107 other locations                                              , "Company Culture, Work Life Balance, Job Security"
LivSpace                                                                        ,    3.3, (1.8k) , Architecture & Interior Design | Bengaluru +53 other locations                    , "Promotions, Work Satisfaction, Job Security"
Tata Communications Transformation Services                                     ,    3.8, (1.8k) , Telecom | Pune +95 other locations                                                , Work Life Balance
XBP Global                                                                      ,    3.2, (1.8k) , Internet | Chennai +23 other locations                                            , "Promotions, Skill Development, Salary"
Pine Labs                                                                       ,    3.2, (1.8k) , FinTech | Noida +122 other locations                                              , "Promotions, Job Security, Company Culture"
Kalyan Jewellers                                                                ,    4.4, (1.8k) , Jewellery | Thrissur +159 other locations                                         , "Salary, Job Security, Company Culture"
HDFC Securities                                                                 ,    3.4, (1.7k) , Financial Services | Mumbai +185 other locations                                  , "Promotions, Work Satisfaction, Company Culture"
BT Business                                                                     ,    3.9, (1.7k) , Telecom | Gurugram +13 other locations                                            , "Work Life Balance, Company Culture, Job Security"
Annapurna Finance                                                               ,    3.8, (1.8k) , NBFC | Bhubaneswar +405 other locations                                           , Salary
Security and Intelligence Services (India)                                      ,    4.0, (1.7k) , Law Enforcement & Security | New Delhi +194 other locations                       , "Work Life Balance, Job Security, Company Culture"
Vedantu                                                                         ,    3.2, (1.7k) , EdTech | Bengaluru +73 other locations                                            , "Job Security, Promotions, Work Satisfaction"
Granules India Limited                                                          ,    3.8, (1.7k) , Pharma | Hyderabad +23 other locations                                            , "Promotions, Work Satisfaction, Skill Development"
Bata                                                                            ,    3.5, (1.7k) , Fashion & Textile | Gurugram +150 other locations                                 , "Promotions, Company Culture, Work Life Balance"
BVG India                                                                       ,    4.2, (1.7k) , Facility Management Services | Pune +139 other locations                          , "Work Life Balance, Company Culture, Work Satisfaction"
Future Retail                                                                   ,    4.4, (1.7k) , Retail | Mumbai +197 other locations                                              , "Company Culture, Skill Development, Work Life Balance"
Orange Business                                                                 ,    4.1, (1.7k) , IT Services & Consulting | Gurugram +52 other locations                           , "Work Life Balance, Company Culture, Job Security"
Dhani Loans and Services                                                        ,    3.9, (1.7k) , NBFC | Gurugram +185 other locations                                              , Work Life Balance
Hitachi Astemo                                                                  ,    4.1, (1.7k) , Auto Components | Neemrana +53 other locations                                    , "Company Culture, Work Life Balance, Job Security"
Cushman & Wakefield                                                             ,    4.2, (1.7k) , Real Estate | Gurugram +44 other locations                                        , "Company Culture, Work Life Balance, Job Security"
Mother Dairy Fruit & Vegetable                                                  ,    4.0, (1.7k) , Hospitality | New Delhi +129 other locations                                      , "Job Security, Work Life Balance, Company Culture"
TTEC India                                                                      ,    3.7, (1.7k) , BPO | Ahmedabad +34 other locations                                               , Company Culture
Metro Cash & Carry                                                              ,    4.0, (1.7k) , Retail | Bengaluru +89 other locations                                            , "Work Life Balance, Company Culture, Job Security"
IIFL SAMASTA                                                                    ,    3.7, (1.7k) , NBFC | Bengaluru +411 other locations                                             , Promotions
Caterpillar Inc                                                                 ,    4.1, (1.7k) , Industrial Machinery | Chennai +43 other locations                                , "Company Culture, Work Life Balance, Work Satisfaction"
HighRadius                                                                      ,    2.5, (1.7k) , Software Product | Hyderabad +15 other locations                                  , "Job Security, Company Culture, Work Satisfaction"
FactSet                                                                         ,    3.7, (1.7k) , Analytics & KPO | Hyderabad +16 other locations                                   , "Work Life Balance, Company Culture, Job Security"
Medanta the Medicity                                                            ,    4.0, (1.7k) , Healthcare | Gurugram +50 other locations                                         , "Job Security, Skill Development, Company Culture"
NielsenIQ                                                                       ,    3.5, (1.7k) , Analytics & KPO | Chennai +55 other locations                                     , "Promotions, Skill Development, Salary"
Sysnet Global Technologies                                                      ,    3.6, (1.7k) , IT Services & Consulting | New Delhi +154 other locations                         , "Promotions, Salary, Job Security"
NEC                                                                             ,    4.0, (1.7k) , IT Services & Consulting | Noida +54 other locations                              , "Work Life Balance, Company Culture, Work Satisfaction"
Indian Navy                                                                     ,    4.6, (1.7k) , Defence & Aerospace | Mumbai +75 other locations                                  , "Job Security, Skill Development, Company Culture"
Health Care Global Enterprises                                                  ,    4.4, (1.7k) , Healthcare | Bengaluru +53 other locations                                        , "Company Culture, Work Life Balance, Job Security"
Cavinkare                                                                       ,    3.9, (1.7k) , FMCG | Chennai +172 other locations                                               , "Salary, Company Culture"
Frankfinn Institute of Air Hostess Training                                     ,    3.9, (1.7k) , Education & Training | Gurugram +61 other locations                               , "Company Culture, Work Life Balance, Work Satisfaction"
KONE                                                                            ,    4.1, (1.7k) , Industrial Machinery | Chennai +76 other locations                                , "Work Life Balance, Company Culture, Job Security"
Yamaha Motor                                                                    ,    4.1, (1.7k) , Automobile | Chennai +155 other locations                                         , "Work Life Balance, Company Culture, Work Satisfaction"
L.G.Balakrishnan & Bros                                                         ,    3.5, (1.7k) , Auto Components | Coimbatore +63 other locations                                  , "Promotions, Salary, Company Culture"
Rane (Madras)                                                                   ,    3.9, (1.7k) , Auto Components | Chennai +58 other locations                                     , "Skill Development, Job Security"
Clover Infotech                                                                 ,    3.4, (1.7k) , IT Services & Consulting | Mumbai +23 other locations                             , "Promotions, Company Culture, Work Satisfaction"
Patanjali Foods                                                                 ,    3.7, (1.7k) , FMCG | Haridwar +240 other locations                                              , "Promotions, Skill Development, Company Culture"
MagicBricks                                                                     ,    3.9, (1.7k) , Internet | Noida +35 other locations                                              , "Salary, Company Culture, Work Life Balance"
Compass Group Support Services                                                  ,    4.0, (1.7k) , Hospitality | Bengaluru +78 other locations                                       , "Work Life Balance, Company Culture, Job Security"
Tata 1mg                                                                        ,    3.6, (1.7k) , Internet | Gurugram +64 other locations                                           , "Promotions, Work Satisfaction, Salary"
BA Continuum                                                                    ,    3.9, (1.7k) , IT Services & Consulting | Hyderabad +17 other locations                          , "Job Security, Work Life Balance, Company Culture"
DHL Express                                                                     ,    4.1, (1.7k) , Logistics | Mumbai +90 other locations                                            , "Job Security, Company Culture, Work Life Balance"
JSW Bhushan Power & Steel                                                       ,    4.0, (1.6k) , Iron & Steel | Jharsuguda +64 other locations                                     , "Skill Development, Company Culture, Work Life Balance"
ReNew                                                                           ,    4.2, (1.6k) , Power | Gurugram +105 other locations                                             , "Job Security, Company Culture, Work Life Balance"
CG Power and Industrial Solutions                                               ,    3.8, (1.6k) , Electrical Equipment | Bhopal +91 other locations                                 , "Promotions, Work Satisfaction"
Vardhman Fabrics                                                                ,    4.0, (1.6k) , Fashion & Textile | Baddi +65 other locations                                     , "Job Security, Company Culture, Work Life Balance"
Procter & Gamble                                                                ,    4.0, (1.6k) , FMCG | Mumbai +255 other locations                                                , "Skill Development, Company Culture, Work Life Balance"
Suryoday Small Finance Bank                                                     ,    3.9, (1.6k) , Banking | Mumbai +233 other locations                                             , "Company Culture, Work Life Balance, Job Security"
Shriram Life Insurance                                                          ,    3.5, (1.6k) , Insurance | Hyderabad +335 other locations                                        , "Promotions, Job Security, Skill Development"
Johnson & Johnson                                                               ,    3.9, (1.6k) , Healthcare | Mumbai +169 other locations                                          , "Company Culture, Work Life Balance, Salary"
Belrise Industries                                                              ,    3.7, (1.6k) , Auto Components | Pune +56 other locations                                        , "Promotions, Company Culture"
Matrimony.com                                                                   ,    3.9, (1.6k) , Internet | Chennai +63 other locations                                            , "Company Culture, Job Security, Work Life Balance"
Arvind Group                                                                    ,    4.0, (1.6k) , Fashion & Textile | Ahmedabad +91 other locations                                 , "Work Life Balance, Job Security, Company Culture"
Toyota Kirloskar Motor                                                          ,    4.3, (1.6k) , Automobile | Bengaluru +92 other locations                                        , "Company Culture, Job Security, Skill Development"
Coronis Ajuba Solutions                                                         ,    3.9, (1.6k) , BPO | Chennai +31 other locations                                                 , "Company Culture, Work Life Balance, Job Security"
Wipro Enterprises Ltd                                                           ,    3.8, (1.6k) , FMCG | Bengaluru +121 other locations                                             , Job Security
CMA CGM                                                                         ,    4.0, (1.6k) , Ports & Shipping | Chennai +37 other locations                                    , "Job Security, Company Culture, Work Life Balance"
Chegg                                                                           ,    4.1, (1.6k) , EdTech | New Delhi +78 other locations                                            , "Work Life Balance, Company Culture, Work Satisfaction"
Goldman Sachs                                                                   ,    3.4, (1.6k) , Financial Services | Bengaluru +22 other locations                                , "Work Life Balance, Job Security, Promotions"
Krishna Maruti                                                                  ,    3.8, (1.6k) , Auto Components | Gurugram +53 other locations                                    , Job Security
HERE Technologies                                                               ,    3.7, (1.6k) , IT Services & Consulting | Mumbai +19 other locations                             , "Work Life Balance, Company Culture, Job Security"
Veritas Finance                                                                 ,    4.3, (1.6k) , NBFC | Chennai +300 other locations                                               , "Company Culture, Work Life Balance, Salary"
Hero Motors Company                                                             ,    3.9, (1.6k) , Automobile | Ghaziabad +228 other locations                                       , "Work Life Balance, Company Culture"
Dixon Technologies                                                              ,    3.9, (1.6k) , Electronics Manufacturing | Noida +47 other locations                             , Skill Development
Tata Play                                                                       ,    4.0, (1.6k) , Broadcasting | Mumbai +223 other locations                                        , "Company Culture, Work Life Balance, Job Security"
Godrej Industries Group                                                         ,    3.9, (1.6k) , Real Estate | Mumbai +152 other locations                                         , "Job Security, Company Culture, Work Life Balance"
Marico                                                                          ,    3.8, (1.6k) , FMCG | Mumbai +187 other locations                                                , Promotions
Satin Creditcare Network                                                        ,    3.9, (1.6k) , NBFC | Gurugram +333 other locations                                              , "Salary, Company Culture, Work Life Balance"
Welspun Living Limited                                                          ,    3.9, (1.6k) , Fashion & Textile | Anjar +86 other locations                                     , Skill Development
Teva Pharmaceuticals                                                            ,    3.9, (1.6k) , Pharma | Bengaluru +53 other locations                                            , Work Life Balance
Sanofi                                                                          ,    4.0, (1.6k) , Pharma | Hyderabad +92 other locations                                            , "Work Life Balance, Company Culture, Work Satisfaction"
iOPEX Technologies                                                              ,    3.1, (1.6k) , IT Services & Consulting | Chennai +15 other locations                            , "Promotions, Salary, Company Culture"
Emami                                                                           ,    3.8, (1.6k) , FMCG | Kolkata +169 other locations                                               , "Work Life Balance, Job Security"
Urban Company                                                                   ,    3.3, (1.6k) , Internet | Gurugram +60 other locations                                           , "Job Security, Promotions, Work Life Balance"
Labmentix                                                                       ,    4.5, (1.6k) , Bengaluru +32 other locations                                                     , "Work Life Balance, Skill Development, Company Culture"
ZF Commercial Vehicle Control Systems                                           ,    3.8, (1.6k) , Auto Components | Chennai +49 other locations                                     , "Promotions, Job Security"
Wockhardt                                                                       ,    3.7, (1.6k) , Pharma | Chhatrapati Sambhajinagar +84 other locations                            , Work Life Balance
IndiaFirst Life Insurance                                                       ,    3.8, (1.6k) , Insurance | Mumbai +250 other locations                                           , Salary
Supreme Industries                                                              ,    4.0, (1.6k) , Petrochemicals | Gwalior +125 other locations                                     , "Job Security, Work Life Balance, Company Culture"
Asahi India Glass                                                               ,    3.8, (1.6k) , Auto Components | Chennai +90 other locations                                     , Job Security
Mercer                                                                          ,    3.6, (1.6k) , Management Consulting | New Delhi +17 other locations                             , Job Security
PharmEasy                                                                       ,    3.7, (1.6k) , Internet | Bengaluru +69 other locations                                          , "Job Security, Promotions, Work Satisfaction"
Broadridge Financial Solutions                                                  ,    3.8, (1.6k) , FinTech | Hyderabad +15 other locations                                           , "Job Security, Work Life Balance"
Relaxo Footwear                                                                 ,    4.0, (1.6k) , Fashion & Textile | New Delhi +160 other locations                                , "Job Security, Work Life Balance, Salary"
Cemindia Projects                                                               ,    4.2, (1.6k) , Engineering & Construction | Kolkata +88 other locations                          , "Job Security, Salary, Company Culture"
KFC                                                                             ,    4.0, (1.6k) , Hospitality | New Delhi +173 other locations                                      , "Skill Development, Company Culture, Job Security"
Kotak Mahindra Prime                                                            ,    3.9, (1.6k) , NBFC | Mumbai +177 other locations                                                , "Company Culture, Work Life Balance, Job Security"
IFB                                                                             ,    3.6, (1.6k) , Consumer Electronics & Appliances | Bengaluru +178 other locations                , "Promotions, Company Culture, Work Satisfaction"
Marriott International                                                          ,    4.1, (1.6k) , Hospitality | Bengaluru +91 other locations                                       , "Job Security, Skill Development, Company Culture"
Honda                                                                           ,    4.0, (1.5k) , Automobile | Gurugram +229 other locations                                        , "Work Life Balance, Job Security, Company Culture"
Gujarat Fluorochemicals                                                         ,    3.9, (1.5k) , Chemicals | Bharuch +31 other locations                                           , "Job Security, Work Life Balance"
mPokket                                                                         ,    4.5, (1.5k) , NBFC | Kolkata +22 other locations                                                , "Job Security, Company Culture, Work Life Balance"
Amul India                                                                      ,    4.0, (1.5k) , Hospitality | Ahmedabad +207 other locations                                      , "Job Security, Work Life Balance, Company Culture"
Lumax Industries                                                                ,    3.9, (1.5k) , Auto Components | Gurugram +43 other locations                                    , "Job Security, Skill Development"
Nayara Energy                                                                   ,    4.2, (1.5k) , Oil & Gas | Jamnagar +98 other locations                                          , "Work Life Balance, Salary, Job Security"
Bajaj Capital                                                                   ,    3.6, (1.5k) , Financial Services | New Delhi +171 other locations                               , "Promotions, Job Security, Work Satisfaction"
Muthoot Microfin                                                                ,    4.2, (1.5k) , NBFC | Kochi +415 other locations                                                 , "Work Life Balance, Job Security, Skill Development"
Suguna Foods                                                                    ,    3.9, (1.5k) , Food Processing | Coimbatore +206 other locations                                 , Company Culture
Hinduja Leyland Finance                                                         ,    3.9, (1.5k) , NBFC | Chennai +300 other locations                                               , "Work Life Balance, Company Culture"
Patra India                                                                     ,    3.5, (1.5k) , BPO | Visakhapatnam +27 other locations                                           , Job Security
SHYAM METALICS AND ENERGY                                                       ,    3.4, (1.5k) , Metals & Mining | Kolkata +77 other locations                                     , "Promotions, Company Culture, Job Security"
Tata Consumer Products                                                          ,    3.5, (1.5k) , FMCG | Bengaluru +229 other locations                                             , "Promotions, Company Culture, Work Satisfaction"
Bisleri                                                                         ,    4.2, (1.5k) , Beverage | Mumbai +182 other locations                                            , "Work Life Balance, Job Security, Salary"
American Broadcasting Company                                                   ,    4.0, (1.5k) , Engineering & Construction | Bengaluru +98 other locations                        , "Company Culture, Work Life Balance, Work Satisfaction"
Dainik Bhaskar Group                                                            ,    4.1, (1.5k) , Printing & Publishing | Bhopal +136 other locations                               , "Company Culture, Skill Development, Work Life Balance"
XL Dynamics                                                                     ,    3.7, (1.5k) , IT Services & Consulting | Mumbai +31 other locations                             , Salary
Karur Vysya Bank                                                                ,    3.5, (1.5k) , Banking | Chennai +193 other locations                                            , "Promotions, Work Satisfaction, Company Culture"
Tesco                                                                           ,    3.5, (1.5k) , Retail | Bengaluru +17 other locations                                            , Job Security
Steel Strips Wheels                                                             ,    3.7, (1.5k) , Auto Components | Chennai +50 other locations                                     , "Company Culture, Promotions, Salary"
Evalueserve                                                                     ,    3.0, (1.5k) , Analytics & KPO | Gurugram +15 other locations                                    , "Promotions, Work Satisfaction, Skill Development"
Oracle Cerner                                                                   ,    3.3, (1.5k) , Software Product | Bengaluru +7 other locations                                   , Work Life Balance
GE VERNOVA                                                                      ,    4.1, (1.5k) , Power | Bengaluru +85 other locations                                             , "Company Culture, Work Life Balance, Work Satisfaction"
SAI Life Sciences                                                               ,    3.9, (1.5k) , Clinical Research | Hyderabad +26 other locations                                 , Salary
Piramal Pharma                                                                  ,    3.9, (1.5k) , Pharma | Mumbai +83 other locations                                               , "Company Culture, Work Life Balance, Job Security"
Canara Bank                                                                     ,    3.6, (1.5k) , Banking | Bengaluru +227 other locations                                          , Job Security
Page Industries                                                                 ,    4.1, (1.5k) , Fashion & Textile | Bengaluru +166 other locations                                , "Job Security, Company Culture, Work Life Balance"
GMR Group                                                                       ,    3.9, (1.5k) , Engineering & Construction | New Delhi +75 other locations                        , "Job Security, Work Life Balance, Company Culture"
Sonata Software                                                                 ,    3.4, (1.5k) , IT Services & Consulting | Bengaluru +17 other locations                          , "Promotions, Job Security, Salary"
HCL Infosystems                                                                 ,    4.0, (1.5k) , IT Services & Consulting | Noida +104 other locations                             , "Work Life Balance, Job Security, Company Culture"
Ashoka Buildcon                                                                 ,    4.1, (1.5k) , Engineering & Construction | Nashik +155 other locations                          , "Company Culture, Work Life Balance, Work Satisfaction"
Tanishq                                                                         ,    4.1, (1.5k) , Jewellery | Kolkata +239 other locations                                          , "Skill Development, Company Culture, Work Life Balance"
QualityKiosk Technologies                                                       ,    3.2, (1.5k) , IT Services & Consulting | Mumbai +21 other locations                             , "Promotions, Salary, Work Satisfaction"
Wheelseye Technology                                                            ,    3.4, (1.5k) , Internet | Gurugram +223 other locations                                          , "Job Security, Promotions, Company Culture"
Max Fashion                                                                     ,    4.0, (1.5k) , Retail | Bengaluru +153 other locations                                           , "Job Security, Skill Development, Company Culture"
Gland Pharma                                                                    ,    4.0, (1.5k) , Pharma | Hyderabad +35 other locations                                            , "Work Life Balance, Job Security"
Devyani International                                                           ,    3.8, (1.5k) , Hospitality | New Delhi +137 other locations                                      , Skill Development
V5 Global Services                                                              ,    3.9, (1.5k) , Recruitment | New Delhi +219 other locations                                      , Work Life Balance
Acuity Analytics                                                                ,    3.1, (1.5k) , Analytics & KPO | Bengaluru +16 other locations                                   , "Promotions, Skill Development, Salary"
Honeywell Technology Solutions                                                  ,    3.6, (1.5k) , Industrial Automation | Bengaluru +18 other locations                             , "Promotions, Work Satisfaction, Skill Development"
Daimler India Commercial Vehicles                                               ,    3.9, (1.5k) , Automobile | Chennai +49 other locations                                          , "Work Life Balance, Job Security, Company Culture"
Airtel Payments Bank                                                            ,    3.8, (1.5k) , Banking | Gurugram +336 other locations                                           , Promotions
Heritage Foods                                                                  ,    4.1, (1.5k) , Food Processing | Hyderabad +124 other locations                                  , "Company Culture, Work Life Balance, Job Security"
Indoco Remedies                                                                 ,    3.5, (1.5k) , Pharma | Mumbai +84 other locations                                               , "Promotions, Job Security, Company Culture"
Valeo                                                                           ,    3.9, (1.5k) , Auto Components | Chennai +23 other locations                                     , "Work Life Balance, Job Security, Company Culture"
PNB Housing Finance                                                             ,    3.8, (1.5k) , NBFC | New Delhi +171 other locations                                             , Promotions
Aon                                                                             ,    3.8, (1.5k) , Management Consulting | Bengaluru +25 other locations                             , "Job Security, Company Culture, Work Life Balance"
ISS Facility Services                                                           ,    4.0, (1.5k) , Facility Management Services | Mumbai +65 other locations                         , "Work Life Balance, Job Security, Company Culture"
Chandigarh University                                                           ,    4.3, (1.5k) , Education & Training | Chandigarh +47 other locations                             , "Company Culture, Work Life Balance, Work Satisfaction"
Amneal Pharmaceuticals                                                          ,    4.2, (1.5k) , Pharma | Ahmedabad +45 other locations                                            , "Work Life Balance, Job Security, Company Culture"
Apco Infratech                                                                  ,    3.7, (1.5k) , Engineering & Construction | Mumbai +95 other locations                           , "Job Security, Company Culture, Promotions"
Apexon                                                                          ,    3.3, (1.5k) , IT Services & Consulting | Bengaluru +23 other locations                          , "Promotions, Job Security, Work Satisfaction"
Oberoi Group of Hotels                                                          ,    4.0, (1.5k) , Hospitality | New Delhi +40 other locations                                       , "Job Security, Skill Development, Company Culture"
Taurus BPO Services                                                             ,    4.1, (1.5k) , BPO | Pune +23 other locations                                                    , "Company Culture, Work Life Balance, Skill Development"
SBFC Finance                                                                    ,    3.8, (1.5k) , NBFC | Mumbai +218 other locations                                                , Salary
NIIT                                                                            ,    3.5, (1.5k) , Education & Training | Gurugram +102 other locations                              , "Promotions, Salary, Work Satisfaction"
Happiest Minds Technologies                                                     ,    3.4, (1.4k) , IT Services & Consulting | Bengaluru +17 other locations                          , "Promotions, Salary, Work Satisfaction"
ALTEN                                                                           ,    3.6, (1.4k) , IT Services & Consulting | Bengaluru +28 other locations                          , "Promotions, Skill Development, Work Satisfaction"
Bharat Forge                                                                    ,    3.8, (1.4k) , Auto Components | Pune +28 other locations                                        , "Promotions, Salary, Company Culture"
